activation,alpha,layers,neurons,val_mse_scaled,val_mse_unscaled
tanh,0.0001,40,40,0.9351301373456135,77.19270054727941
tanh,0.0001,36,80,0.9382379932836519,74.69909364909971
tanh,0.0001,38,80,0.9518251143180109,75.29833795451167
tanh,0.0001,36,10,1.0225937580082025,96.66801195688946
logistic,0.0001,32,80,1.0600721221013578,100.52422985978062
logistic,0.0001,28,40,1.0606168537854266,100.53098429385021
relu,0.0001,34,80,1.0607035545254966,100.60018005268785
logistic,0.0001,34,80,1.0607764402714432,100.66250844846446
logistic,0.0001,14,60,1.0607779453035195,100.5039206884975
logistic,0.0001,7,60,1.0608951988397255,100.51434422183861
relu,0.0001,40,60,1.0610377627122964,100.65310837694254
logistic,0.0001,37,60,1.061065359976295,100.60656378059875
logistic,0.0001,34,40,1.0610666103155963,100.53847012440916
logistic,0.0001,37,80,1.0611376346615349,100.62052486532782
logistic,0.0001,20,60,1.0615522580174162,100.77684211509215
logistic,0.0001,9,20,1.0615933080770823,100.69489191209638
logistic,0.0001,12,80,1.061736683587074,100.5830307373698
logistic,0.0001,25,80,1.0619184802756674,100.55143467922389
logistic,0.0001,16,20,1.0619197808157832,100.55864870999646
logistic,0.0001,26,20,1.0619538479690986,100.7561114359436
logistic,0.0001,31,10,1.0620003849329034,100.63655841618872
relu,0.0001,34,40,1.062037125490636,100.74301490905155
logistic,0.0001,35,20,1.0620459359506624,100.68376068832825
logistic,0.0001,34,60,1.062077587915492,100.88449347136442
relu,0.0001,35,20,1.0620807949315514,100.61337286015971
relu,0.0001,35,10,1.0621487800928133,100.70562797968448
relu,0.0001,33,80,1.0621871513360106,100.68175088550309
logistic,0.0001,38,20,1.062193638313943,100.66099954730105
relu,0.0001,33,60,1.062213029635954,100.67305604984092
logistic,0.0001,24,60,1.0622177276282054,100.70679705001261
logistic,0.0001,13,40,1.062229330504826,100.55076902667942
logistic,0.0001,30,20,1.062270742727325,100.7886639317188
logistic,0.0001,39,40,1.0622865493705558,100.72176909327247
logistic,0.0001,31,20,1.0623348000686927,100.63749400170731
logistic,0.0001,21,80,1.0623481392710905,100.66487880861203
logistic,0.0001,11,20,1.0623641494183815,100.88167514948282
logistic,0.0001,7,20,1.062472669875069,100.65593694124884
logistic,0.0001,17,40,1.0625121981208816,100.74738858591688
logistic,0.0001,27,10,1.062514042444297,100.68439696411737
logistic,0.0001,19,10,1.0625201796537802,100.68617907486491
logistic,0.0001,12,10,1.062554957499536,100.79733573216039
logistic,0.0001,39,10,1.0625772734701018,100.74155819482242
relu,0.0001,39,60,1.0626254752297077,100.70726565751558
logistic,0.0001,16,10,1.0626394896323947,100.70949131074906
logistic,0.0001,35,60,1.0626603343869279,100.63270087608946
logistic,0.0001,12,40,1.06269523113715,100.72656180109513
relu,0.0001,36,20,1.0627039080866854,100.5827598448939
logistic,0.0001,22,20,1.0627154001795571,100.63632355696657
logistic,0.0001,15,20,1.0627276858284345,100.62913932710853
logistic,0.0001,32,10,1.0627312556262571,100.74445704552224
logistic,0.0001,34,10,1.0627356405732715,100.75314860806864
relu,0.0001,32,10,1.0627407739821673,100.73399793608235
relu,0.0001,28,20,1.062761500865905,100.76610909434022
logistic,0.0001,35,10,1.0627980697095099,100.68486349394728
relu,0.0001,28,40,1.0628012363261603,100.58876627928382
logistic,0.0001,33,20,1.062803045087725,100.7323065608
logistic,0.0001,10,40,1.0628102210508685,100.6710337179591
logistic,0.0001,9,10,1.0628183488832303,100.718701536333
logistic,0.0001,24,10,1.062838844939715,100.7396149921522
relu,0.0001,34,10,1.0628459178617977,100.82668076631194
logistic,0.0001,17,10,1.062896873098895,100.68926307905875
logistic,0.0001,14,10,1.0629293446509318,100.8311035828212
logistic,0.0001,40,60,1.0629445755890112,101.01152489608548
relu,0.0001,39,10,1.0630081934287487,100.79226126888751
logistic,0.0001,21,10,1.063027475011143,100.71632914247
